with cuda device
with update rate: 0.1
step: 3980; accuracy: 0.5900; test_accuracy: 0.5983, loss: 13.9696; beta: 58.5584, amino: 13.9111
step: 4000; accuracy: 0.5885; test_accuracy: 0.5676, loss: 14.0804; beta: 58.5271, amino: 14.0219
step: 4020; accuracy: 0.5858; test_accuracy: 0.5726, loss: 14.1397; beta: 58.6716, amino: 14.0810
step: 4040; accuracy: 0.5836; test_accuracy: 0.6205, loss: 14.3642; beta: 58.9559, amino: 14.3053
step: 4060; accuracy: 0.5962; test_accuracy: 0.6008, loss: 13.7947; beta: 58.8752, amino: 13.7359
step: 4080; accuracy: 0.5947; test_accuracy: 0.6032, loss: 13.8084; beta: 58.5702, amino: 13.7498
step: 4100; accuracy: 0.5922; test_accuracy: 0.5935, loss: 13.9776; beta: 58.5641, amino: 13.9190
step: 4120; accuracy: 0.5903; test_accuracy: 0.5866, loss: 14.0647; beta: 58.4573, amino: 14.0062
step: 4140; accuracy: 0.5953; test_accuracy: 0.5924, loss: 13.9121; beta: 58.6363, amino: 13.8535
step: 4160; accuracy: 0.5974; test_accuracy: 0.6003, loss: 13.6593; beta: 58.6495, amino: 13.6006
step: 4180; accuracy: 0.5977; test_accuracy: 0.6049, loss: 13.7138; beta: 59.1555, amino: 13.6546
step: 4200; accuracy: 0.5865; test_accuracy: 0.6030, loss: 14.0411; beta: 58.9365, amino: 13.9822
step: 4220; accuracy: 0.5976; test_accuracy: 0.5873, loss: 13.7813; beta: 58.7299, amino: 13.7225
step: 4240; accuracy: 0.5869; test_accuracy: 0.5979, loss: 14.1873; beta: 59.1964, amino: 14.1281
step: 4260; accuracy: 0.5855; test_accuracy: 0.6012, loss: 14.2774; beta: 58.7777, amino: 14.2186
step: 4280; accuracy: 0.6007; test_accuracy: 0.6218, loss: 13.6555; beta: 58.7813, amino: 13.5967
step: 4300; accuracy: 0.5964; test_accuracy: 0.6008, loss: 13.7478; beta: 58.7590, amino: 13.6891
step: 4320; accuracy: 0.5970; test_accuracy: 0.5746, loss: 13.7965; beta: 58.4371, amino: 13.7381
step: 4340; accuracy: 0.5841; test_accuracy: 0.5872, loss: 14.0648; beta: 58.1400, amino: 14.0066
step: 4360; accuracy: 0.6055; test_accuracy: 0.6129, loss: 13.4014; beta: 58.6057, amino: 13.3428
step: 4380; accuracy: 0.5958; test_accuracy: 0.5841, loss: 13.7297; beta: 58.4916, amino: 13.6712
step: 4400; accuracy: 0.5926; test_accuracy: 0.5803, loss: 13.8620; beta: 58.4173, amino: 13.8036
step: 4420; accuracy: 0.5938; test_accuracy: 0.6008, loss: 13.9979; beta: 58.2598, amino: 13.9397
step: 4440; accuracy: 0.5940; test_accuracy: 0.6031, loss: 13.8501; beta: 58.5847, amino: 13.7916
step: 4460; accuracy: 0.5926; test_accuracy: 0.5854, loss: 13.9583; beta: 58.5548, amino: 13.8997
step: 4480; accuracy: 0.5953; test_accuracy: 0.5766, loss: 14.0019; beta: 58.3126, amino: 13.9436
step: 4500; accuracy: 0.6089; test_accuracy: 0.6076, loss: 13.3009; beta: 58.7509, amino: 13.2421
step: 4520; accuracy: 0.5966; test_accuracy: 0.5910, loss: 13.8998; beta: 58.7969, amino: 13.8410
step: 4540; accuracy: 0.6037; test_accuracy: 0.5697, loss: 13.5852; beta: 59.2310, amino: 13.5260
step: 4560; accuracy: 0.5944; test_accuracy: 0.6238, loss: 13.8988; beta: 59.0810, amino: 13.8398
step: 4580; accuracy: 0.5941; test_accuracy: 0.5801, loss: 13.9431; beta: 58.6273, amino: 13.8845
step: 4600; accuracy: 0.5970; test_accuracy: 0.5922, loss: 13.7476; beta: 58.7546, amino: 13.6889
step: 4620; accuracy: 0.6043; test_accuracy: 0.6014, loss: 13.4982; beta: 58.6691, amino: 13.4395
step: 4640; accuracy: 0.5977; test_accuracy: 0.6023, loss: 13.7717; beta: 58.5585, amino: 13.7131
step: 4660; accuracy: 0.6023; test_accuracy: 0.5978, loss: 13.5487; beta: 58.5855, amino: 13.4901
step: 4680; accuracy: 0.6000; test_accuracy: 0.5976, loss: 13.6370; beta: 58.7693, amino: 13.5783
step: 4700; accuracy: 0.5958; test_accuracy: 0.5902, loss: 13.9190; beta: 58.8615, amino: 13.8601
step: 4720; accuracy: 0.5907; test_accuracy: 0.5668, loss: 14.0810; beta: 58.5769, amino: 14.0224
step: 4740; accuracy: 0.6057; test_accuracy: 0.5736, loss: 13.4783; beta: 58.8113, amino: 13.4195
step: 4760; accuracy: 0.5999; test_accuracy: 0.6145, loss: 13.6922; beta: 58.4906, amino: 13.6337
step: 4780; accuracy: 0.5974; test_accuracy: 0.6228, loss: 13.8854; beta: 58.4032, amino: 13.8270
step: 4800; accuracy: 0.6103; test_accuracy: 0.6036, loss: 13.4192; beta: 58.3797, amino: 13.3608
step: 4820; accuracy: 0.6084; test_accuracy: 0.6158, loss: 13.4825; beta: 58.6478, amino: 13.4238
step: 4840; accuracy: 0.6065; test_accuracy: 0.6158, loss: 13.4990; beta: 58.2710, amino: 13.4408
step: 4860; accuracy: 0.6041; test_accuracy: 0.6229, loss: 13.4192; beta: 58.2850, amino: 13.3609
step: 4880; accuracy: 0.6103; test_accuracy: 0.6387, loss: 13.3431; beta: 58.8652, amino: 13.2842
step: 4900; accuracy: 0.6054; test_accuracy: 0.5924, loss: 13.4115; beta: 59.2043, amino: 13.3523
